source_dataset,original_class,source_path,filename,suffix,bytes,width,height,mode,sha256,class_name
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/15.dt.jpg_no_bg.png,15.dt.jpg_no_bg.png,.png,188031,576,434,RGBA,3972d87d6d548c01c661a4bd40a19a9d76d86fb28f87b1aafd93e7f5f3e22fab,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/dt.jpg_no_bg.png,dt.jpg_no_bg.png,.png,188031,576,434,RGBA,3972d87d6d548c01c661a4bd40a19a9d76d86fb28f87b1aafd93e7f5f3e22fab,WSSV
ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/nuoi-tom-the-chan-trang-co-dat-hieu-qua-kinh-te-2.jpg_no_bg.png,nuoi-tom-the-chan-trang-co-dat-hieu-qua-kinh-te-2.jpg_no_bg.png,.png,182015,650,365,RGBA,3c25f86d9e5acd59a87d7a4caae905ea046854ca4a87494a2a91213edfffaa55,Healthy
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/benh-den-mang-tren-tom-the-chan-trang-va-cach-phong-tri-benh201841216340535.jpg_no_bg.png,benh-den-mang-tren-tom-the-chan-trang-va-cach-phong-tri-benh201841216340535.jpg_no_bg.png,.png,356367,612,409,RGBA,3e7df20bc798caa6e1df5b9c596f50774ff239e4ed09e0131f381a6c79749264,BG
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/76.2010-10-20-shrimp.jpg_no_bg.png,76.2010-10-20-shrimp.jpg_no_bg.png,.png,184782,500,333,RGBA,42bad25f19a00b10cd643d464d971d3acfb8d7dc23779e5e0e6cb3c0b76c6f92,BG
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/tom-the-bi-benh-dom-trang.jpg_no_bg.png,tom-the-bi-benh-dom-trang.jpg_no_bg.png,.png,245327,600,343,RGBA,453bfc68c0bea90ed972f394c30b9365447e0a9dcc9ebccac2d5006c4c2e1e21,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/6.white-spot.jpg_no_bg.png,6.white-spot.jpg_no_bg.png,.png,199041,494,394,RGBA,4ecfae3bbadf0c266f1d7b22a2c3adbc9c6be06d1803d3a80a9797223f5d7285,WSSV
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/den-mang-do-ky-sinh-trung.jpg,den-mang-do-ky-sinh-trung.jpg,.jpg,25617,375,250,RGB,5c2c93a07b465392343c651b1f2e50108c3f1ea1830f5564591195b12f2dcac2,BG
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/3.8100480-16x9-large.jpg_no_bg.png,3.8100480-16x9-large.jpg_no_bg.png,.png,255139,666,375,RGBA,6239c72438f77e73ad074a5b8491910272c8e2fb246ac50d1ef40e5bbc25b278,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/8100480-16x9-large.jpg_no_bg.png,8100480-16x9-large.jpg_no_bg.png,.png,255139,666,375,RGBA,6239c72438f77e73ad074a5b8491910272c8e2fb246ac50d1ef40e5bbc25b278,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/aquatic_ShrimpDis2_img_51.jpg_no_bg.png,aquatic_ShrimpDis2_img_51.jpg_no_bg.png,.png,253434,578,433,RGBA,638fa1786c61c6d005d76c9bb11d800f43b36c5193e3e89d844b6127eabfab1d,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/aquatic_ShrimpDis2_img_6.jpg_no_bg.png,aquatic_ShrimpDis2_img_6.jpg_no_bg.png,.png,253434,578,433,RGBA,638fa1786c61c6d005d76c9bb11d800f43b36c5193e3e89d844b6127eabfab1d,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/16.bna_1928639_1152018.jpg_no_bg.png,16.bna_1928639_1152018.jpg_no_bg.png,.png,360060,577,433,RGBA,670d71dae3ffbf510b8251a2d7a2009db3d6a702d48c0d928341e66fd401b176,WSSV
ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/tom2_vluz.jpg_no_bg.png,tom2_vluz.jpg_no_bg.png,.png,366980,598,374,RGBA,72699c3cb4658e8ee5ba1d92e441a1b21058ecd5a199ab9ff97478a9a5c53891,Healthy
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/3.db5835d6-5b0f872ae49519d47e8b4567.jpg,3.db5835d6-5b0f872ae49519d47e8b4567.jpg,.jpg,178316,600,450,RGB,7f87412a1c91586153d630a47174568309dbf1fc524c193db26b203b76c43fb3,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/4.db5835d6-5b0f872ae49519d47e8b4567.jpg,4.db5835d6-5b0f872ae49519d47e8b4567.jpg,.jpg,178316,600,450,RGB,7f87412a1c91586153d630a47174568309dbf1fc524c193db26b203b76c43fb3,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/tom-benh-dom-trang-WSSV-672x372-248x288.jpg_no_bg.png,tom-benh-dom-trang-WSSV-672x372-248x288.jpg_no_bg.png,.png,109292,248,288,RGBA,845778ef507b745d0e2b119d96e24a78cbe2ee7308f15867d40985d9faad6065,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/tac-nhan-gay-benh-dom-trang-tren-tom-nuoi.jpg_no_bg.png,tac-nhan-gay-benh-dom-trang-tren-tom-nuoi.jpg_no_bg.png,.png,317688,672,372,RGBA,86cd545e3847e1c0b6cd35f208fc06d41d8e5b838f2a869cf3622a62f312c4a9,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/15.a-prawn-with-white-spot-disease__278153_.jpg_no_bg.png,15.a-prawn-with-white-spot-disease__278153_.jpg_no_bg.png,.png,216283,612,408,RGBA,86d986fd4f2dd9ce6d15f92de327c8bf6ae4c11e31212e5a7fc169cb65c65b5f,WSSV
ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/1_60701.jpg,1_60701.jpg,.jpg,158110,1000,594,RGB,8c5648ce440dda4bc0fb663c902449454c41e4dc16279acc93e853c9ff54de16,Healthy
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/60.2013-11-03T151424Z_1_CBRE9A216CU00_RTROPTP_2_USA-ATLANTIC-SHRIMP.JPG_no_bg.png,60.2013-11-03T151424Z_1_CBRE9A216CU00_RTROPTP_2_USA-ATLANTIC-SHRIMP.JPG_no_bg.png,.png,118319,450,338,RGBA,94409181eba59638579402702e4e6a68d6019297cf24a707aa748f30d558dc0e,BG
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/dom_trang2.jpg,dom_trang2.jpg,.jpg,75599,920,690,RGB,99d08a0e46547a32a2fa0979f6daa9c906f183184933d9d5339c76e0547770a6,WSSV
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/den-mang-tren-tom-do-nuoc-o-nhiem2.jpg_no_bg.png,den-mang-tren-tom-do-nuoc-o-nhiem2.jpg_no_bg.png,.png,312228,667,375,RGBA,9cdd05b7a52ba75dbbcda90f79db8314018ced2e2251c28225fdaaaba27c4c12,BG
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/benh-den-mang-o-tom-the-chan-trang-1.jpg_no_bg.png,benh-den-mang-o-tom-the-chan-trang-1.jpg_no_bg.png,.png,308375,611,409,RGBA,9da988d9e447ae52f6fa9d1d13bb7e1fe1582539dae3436e5e3e009079d2c394,BG
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/X8AYN5IMTC-161615072019.png_no_bg.png,X8AYN5IMTC-161615072019.png_no_bg.png,.png,288928,613,408,RGBA,a05d55563de7de21a63b2697801b71d338663d9e378f93859fb6d8888ce3e02d,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/15.r0_98_1051_689_w1200_h678_fmax.jpg_no_bg.png,15.r0_98_1051_689_w1200_h678_fmax.jpg_no_bg.png,.png,187205,667,375,RGBA,a6315ad73292630090794b89f97e07b7c86d0098edc58a851575fb5707612fa9,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/43.r0_98_1051_689_w1200_h678_fmax.jpg_no_bg.png,43.r0_98_1051_689_w1200_h678_fmax.jpg_no_bg.png,.png,187205,667,375,RGBA,a6315ad73292630090794b89f97e07b7c86d0098edc58a851575fb5707612fa9,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/benh-dom-trang-tren-tom-va-cach-phong-tri-benh-hieu-qua201831145312400.jpg_no_bg.png,benh-dom-trang-tren-tom-va-cach-phong-tri-benh-hieu-qua201831145312400.jpg_no_bg.png,.png,172125,614,407,RGBA,a9cb32b104374b06b037d583cd7525b0989fbf240de92d0f11dded3c04a8bc68,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/dbscl-6-thang-dau-nam-co-hon-12400ha-tom-su-bi-benh-va-thiet-hai-tom-su-bi-benh-dom-trang-1531191391-width600height350-211946.jpg_no_bg.png,dbscl-6-thang-dau-nam-co-hon-12400ha-tom-su-bi-benh-va-thiet-hai-tom-su-bi-benh-dom-trang-1531191391-width600height350-211946.jpg_no_bg.png,.png,250640,600,350,RGBA,ae3ccc802f2a309dd3dbca245cf6a563ca88129660652f4d90286fe8d6f08d80,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/trieu-chung-benh-dom-trang-tren-tom-su-01.jpg_no_bg.png,trieu-chung-benh-dom-trang-tren-tom-su-01.jpg_no_bg.png,.png,250640,600,350,RGBA,ae3ccc802f2a309dd3dbca245cf6a563ca88129660652f4d90286fe8d6f08d80,WSSV
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/image026.jpg_no_bg.png,image026.jpg_no_bg.png,.png,70835,311,205,RGBA,b1cca49d7ae9201c8040db98970a319e6473fd96f118f928f9035781aabc24d8,BG
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/11.9914082-3x2-700x467.jpg_no_bg.png,11.9914082-3x2-700x467.jpg_no_bg.png,.png,228891,612,408,RGBA,c869e96b1c78cf9260dbf08f7880dd61665fb6ed91da749956f2b9adba988fdf,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/9914082-3x2-700x467 (1).jpg_no_bg.png,9914082-3x2-700x467 (1).jpg_no_bg.png,.png,228891,612,408,RGBA,c869e96b1c78cf9260dbf08f7880dd61665fb6ed91da749956f2b9adba988fdf,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/9914082-3x2-700x467 (2).jpg_no_bg.png,9914082-3x2-700x467 (2).jpg_no_bg.png,.png,228891,612,408,RGBA,c869e96b1c78cf9260dbf08f7880dd61665fb6ed91da749956f2b9adba988fdf,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/9914082-3x2-700x467.jpg_no_bg.png,9914082-3x2-700x467.jpg_no_bg.png,.png,228891,612,408,RGBA,c869e96b1c78cf9260dbf08f7880dd61665fb6ed91da749956f2b9adba988fdf,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/27.r0_0_568_319_w1200_h678_fmax.jpg_no_bg.png,27.r0_0_568_319_w1200_h678_fmax.jpg_no_bg.png,.png,294524,568,319,RGBA,ce82f059f52aee9091eac5e742efba9d75f75add8b059a6cbb933b3345704fc7,WSSV
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/benh-den-mang-o-tom-the-chan-trang1.jpg_no_bg.png,benh-den-mang-o-tom-the-chan-trang1.jpg_no_bg.png,.png,229654,615,407,RGBA,d163dddcf9e2117c3024e4f1fc538483feac4ca16438cc3c0aa3071aaa739782,BG
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/Tôm-sú-nhiễm-virus-đốm-trắng-WSSV.png_no_bg.png,Tôm-sú-nhiễm-virus-đốm-trắng-WSSV.png_no_bg.png,.png,370573,577,433,RGBA,e7d83d48f199476c8da26d52ee052a62b37553d2d29c6345cb9679463cb5e4e5,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/nguyen-nhan-gay-benh-than-do-dom-trang-o-tom-la-do-da.png_no_bg.png,nguyen-nhan-gay-benh-than-do-dom-trang-o-tom-la-do-da.png_no_bg.png,.png,370573,577,433,RGBA,e7d83d48f199476c8da26d52ee052a62b37553d2d29c6345cb9679463cb5e4e5,WSSV
ShrimpDB,Dom_Trang,/kaggle/input/datasets/vohoangtu/shrimpdb/Dom_Trang/prawn-with-white-spot-qdaf.jpg_no_bg.png,prawn-with-white-spot-qdaf.jpg_no_bg.png,.png,89688,300,225,RGBA,edb1d102eee2b39c5940ae94fb4eae8d0a2c8c49a1607d35fe0721ddb8bd7694,WSSV
ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/images (3).jpg_no_bg.png,images (3).jpg_no_bg.png,.png,64725,260,194,RGBA,f441b3b1fc7020fdadce8a11aa62ae7928e0e532f5b7effea16945bfa60d124d,BG
