Index,source_dataset,original_class,source_path,filename,suffix,bytes,width,height,mode,sha256,class_name,split,label,materialized_path
273,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/benh-den-mang-o-tom-the-chan-trang.jpg_no_bg.png,benh-den-mang-o-tom-the-chan-trang.jpg_no_bg.png,.png,229654,615,407,RGBA,d163dddcf9e2117c3024e4f1fc538483feac4ca16438cc3c0aa3071aaa739782,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/d163dddcf9e2_sdb_00010.png
5,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/denmang1.png_no_bg.png,denmang1.png_no_bg.png,.png,148802,774,323,RGBA,063dd7cf2c6ead1386b6b36924ebc9d9217024c7cfcefa14e9cb50807e8af045,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/063dd7cf2c6e_sdb_00011.png
192,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/download1.jpg,download1.jpg,.jpg,28409,289,67,RGB,9822bad5c407b554061552bfc6ff55340fd5aee5e6db77b6fb6012f4b5899e23,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/9822bad5c407_sdb_00012.jpg
37,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/fungal-diseases-of-shrimp-19-638.jpg_no_bg.png,fungal-diseases-of-shrimp-19-638.jpg_no_bg.png,.png,148508,409,279,RGBA,1bcbd90f31eadb31b6b63153c4fd3154a16e882b8d0388a25d6657641a62584d,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/1bcbd90f31ea_sdb_00013.png
301,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/images (2)1.jpg_no_bg.png,images (2)1.jpg_no_bg.png,.png,42865,149,141,RGBA,f3cb1550fdf63db795b4e07bdc66a868caae21b0278d127d55e5aeececec45e1,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/f3cb1550fdf6_sdb_00014.png
307,ShrimpDB,Den_Mang,/kaggle/input/datasets/vohoangtu/shrimpdb/Den_Mang/images (4).jpg_no_bg.png,images (4).jpg_no_bg.png,.png,53647,275,183,RGBA,f5983a38cf205061292d67d85343c30f7affe1fe4352f58dbacaf94a2d84f8c1,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/f5983a38cf20_sdb_00015.png
486,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-16-img-1_nobg.png,BG-16-img-1_nobg.png,.png,1038003,2048,2048,RGBA,242d0c64cef7142580bf5f90d7b5ed0b5ce167398208c3b803882a5d94288f8d,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/242d0c64cef7_sddb_00016.png
1438,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-19-img-2_nobg.png,BG-19-img-2_nobg.png,.png,815319,2048,2048,RGBA,f8a7b25607ee5ad32f8da55b726fb443a33d73ca53a8e8a0998d268445770edd,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/f8a7b25607ee_sddb_00017.png
1322,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-21-img-1_nobg.png,BG-21-img-1_nobg.png,.png,2303105,2048,2048,RGBA,df74181221ade91e91be75018d0ad912d180e6d4f3139d64d36b0facb8aedcce,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/df74181221ad_sddb_00018.png
981,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-24-img-2_nobg.png,BG-24-img-2_nobg.png,.png,1748407,2048,2048,RGBA,8e7d20e6fe0fe1980f6a61c0fcee2d56374225bc3fdbe1848dae3d2f2a2530fb,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/8e7d20e6fe0f_sddb_00019.png
913,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-30-img-3_nobg.png,BG-30-img-3_nobg.png,.png,918326,2048,2048,RGBA,7e6de94e123d1017a117358f1ebef63be54a65dea96cf2b710f8317a29675db8,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/7e6de94e123d_sddb_00020.png
903,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-32-img-1_nobg.png,BG-32-img-1_nobg.png,.png,851816,2048,2048,RGBA,7cd30382a2326efa9aa609e49e42f1de2198894e958358cdd2eacf1cf512b56a,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/7cd30382a232_sddb_00021.png
1193,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-37-img-3_nobg.png,BG-37-img-3_nobg.png,.png,908363,2048,2048,RGBA,bdc4151b4a1d0936024f1abc9da8e83e7f4ebce91d110c86445e17fa69027a33,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/bdc4151b4a1d_sddb_00022.png
1170,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-41-img-1_nobg.png,BG-41-img-1_nobg.png,.png,961522,2048,2048,RGBA,b8ee378cec35ed0f619a2a97769af7f24cd48a1b92cea449e91d8e8bf6ccd8c7,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/b8ee378cec35_sddb_00023.png
590,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-42-img-1_nobg.png,BG-42-img-1_nobg.png,.png,1095193,2048,2048,RGBA,3addcb0bb294554af8be2fb181374f8fa17dc958996e2f7964a3ef1f68d15edd,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/3addcb0bb294_sddb_00024.png
1186,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-42-img-3_nobg.png,BG-42-img-3_nobg.png,.png,1091855,2048,2048,RGBA,bbf910f5fa7dc57215b56109c21666c821a5e4f841e35a114d6c085693773e62,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/bbf910f5fa7d_sddb_00025.png
972,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-44-img-2_nobg.png,BG-44-img-2_nobg.png,.png,1213353,2048,2048,RGBA,8c861b0897c91351a98c8b3c897a63566e552fbe4625c18d3e0bc10232ffc559,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/8c861b0897c9_sddb_00026.png
639,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-47-img-1_nobg.png,BG-47-img-1_nobg.png,.png,744706,2048,2048,RGBA,43df7fefffc122cf5746f7aec8c54a15908b8e592a7abbf7364ff055420b647f,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/43df7fefffc1_sddb_00027.png
402,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-49-img-3_nobg.png,BG-49-img-3_nobg.png,.png,844169,2048,2048,RGBA,13f96bdaaa0f76db32157a7e9b3fc9c7d310d3ab9519e647c475ad9027b1a229,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/13f96bdaaa0f_sddb_00028.png
1044,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-51-img-1_nobg.png,BG-51-img-1_nobg.png,.png,806405,2048,2048,RGBA,9d99935c1d13c36a7594417d1570e668a95bc910f3cbb4a54fe1e460164f5ca1,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/9d99935c1d13_sddb_00029.png
1144,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-51-img-3_nobg.png,BG-51-img-3_nobg.png,.png,959036,2048,2048,RGBA,b2de2c58f4c7f0e1367288a967998de322504f4e1de1117a7f7a8255eb2bd238,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/b2de2c58f4c7_sddb_00030.png
1129,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-52-img-2_nobg.png,BG-52-img-2_nobg.png,.png,1043154,2048,2048,RGBA,af2f842040f7bc851b17528a575ad52b6781afccb98b0304573a3d5c6d38ce5d,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/af2f842040f7_sddb_00031.png
1042,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-53-img-1_nobg.png,BG-53-img-1_nobg.png,.png,1093458,2048,2048,RGBA,9d854ff449fe8e80224d635e29ca09e9401c22e7983ef8c0cd63d0c58a8e8ae5,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/9d854ff449fe_sddb_00032.png
422,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-53-img-3_nobg.png,BG-53-img-3_nobg.png,.png,1306474,2048,2048,RGBA,17e94a85cdfa74b75fe1e297e6ae6d518d2512f70dafb3344523411fce33c3a5,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/17e94a85cdfa_sddb_00033.png
368,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-54-img-1_nobg.png,BG-54-img-1_nobg.png,.png,868185,2048,2048,RGBA,0af04e50d01445192dab89b37c25cda1426cf65b08d9af92284847baef857cac,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/0af04e50d014_sddb_00034.png
330,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-58-img-1_nobg.png,BG-58-img-1_nobg.png,.png,997804,2048,2048,RGBA,01fee78eb0c0aa8bfb7b421be59084545f798e6f4454154aed10f0a2ab63030c,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/01fee78eb0c0_sddb_00035.png
1118,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-6-img-2_nobg.png,BG-6-img-2_nobg.png,.png,915684,2048,2048,RGBA,ad8963e750fbbdd5aae91cbc8df2f81c0460a250d60b91c27e6c87462e14337e,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/ad8963e750fb_sddb_00036.png
936,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-6-img-3_nobg.png,BG-6-img-3_nobg.png,.png,1187576,2048,2048,RGBA,85578cd129be1d9e987174e80600cd2b94936703f5e48339332c27a47d96f85e,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/85578cd129be_sddb_00037.png
731,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-63-img-1_nobg.png,BG-63-img-1_nobg.png,.png,810597,2048,2048,RGBA,57f76dc0b5128217c163e50d294e199c159c1c5e599bbacfcd3d59d8349814d6,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/57f76dc0b512_sddb_00038.png
1404,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-64-img-1_nobg.png,BG-64-img-1_nobg.png,.png,822872,2048,2048,RGBA,f2fdc8d099fc44a2aa1b70b670962c71d58b0170a9af5fc737d294a4cef29ffc,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/f2fdc8d099fc_sddb_00039.png
935,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-64-img-3_nobg.png,BG-64-img-3_nobg.png,.png,1003471,2048,2048,RGBA,85550da78c9d0677c3d7f6542ef1d4a8989aa7bbc8267517f3ea1c46481bb4de,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/85550da78c9d_sddb_00040.png
561,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-69-img-2_nobg.png,BG-69-img-2_nobg.png,.png,1083350,2048,2048,RGBA,33a0da3680a1401c77604b3f41dae5441de07736d1526ab55977b6b73cfd7509,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/33a0da3680a1_sddb_00041.png
470,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-71-img-3_nobg.png,BG-71-img-3_nobg.png,.png,807684,2048,2048,RGBA,209d95dc195e955544306ba7f9b7ceceaf70f12a2bcf1dfaf4ac4004299218a8,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/209d95dc195e_sddb_00042.png
499,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-72-img-2_nobg.png,BG-72-img-2_nobg.png,.png,857244,2048,2048,RGBA,27d88248f078888ddfe72888ae6a229c155b98757aeabaedfd77d75a4a19bcb2,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/27d88248f078_sddb_00043.png
622,ShrimpDiseaseDB,BG,/kaggle/working/downloaded_datasets/processed_images/processed_images/2. BG/BG-74-img-2_nobg.png,BG-74-img-2_nobg.png,.png,1168101,2048,2048,RGBA,41b5b1d99c6f47748d437aef969c225ff1e9b6731e197c903cbc99bfff73bba6,BG,test,1,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/01_BG/41b5b1d99c6f_sddb_00044.png
140,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/105938_nhu-cau-khoang-cua-tom-the-chan-trang-672x355.jpg,105938_nhu-cau-khoang-cua-tom-the-chan-trang-672x355.jpg,.jpg,61566,640,360,RGB,773748e1351bf1c8845d8c35c0382d35cb761605e22f56bd33a30a16d3285daf,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/773748e1351b_sdb_00045.jpg
193,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/gia-tom-xuat-khau-tuan-qua-tiep-tuc-tang-1410232942.jpg_no_bg.png,gia-tom-xuat-khau-tuan-qua-tiep-tuc-tang-1410232942.jpg_no_bg.png,.png,440506,583,429,RGBA,982ced70ddf6249b1565c346c230d7dbcf26de5a2b51c29239e76afc2be22f31,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/982ced70ddf6_sdb_00046.png
266,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/maxresdefault.jpg,maxresdefault.jpg,.jpg,63367,1280,720,RGB,ce7a7d947fe9d2c987ddcbb22bea6ff9a6cf23a8bf31258fd470f7bb574651fa,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/ce7a7d947fe9_sdb_00047.jpg
12,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/mua-vu-nuoi-tom-the-chan-trang.jpg_no_bg.png,mua-vu-nuoi-tom-the-chan-trang.jpg_no_bg.png,.png,425859,577,433,RGBA,0cd19793a6c0c6b0c44dc5cb85cedda27666d3836cc5369506cf092e06fdec17,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/0cd19793a6c0_sdb_00048.png
247,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/nuoi-tom-the-chan-trang_11.jpg_no_bg.png,nuoi-tom-the-chan-trang_11.jpg_no_bg.png,.png,451541,577,433,RGBA,bb2f0afd6395a6dfc5c51c4ccdb3ce442caff8658d614484ac92498887c9d5f0,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/bb2f0afd6395_sdb_00049.png
40,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/thuy san viet nam (5-6).jpg_no_bg.png,thuy san viet nam (5-6).jpg_no_bg.png,.png,155396,430,253,RGBA,224d183ab3940f8313c25874855314f170c40ca4eb1f97dd07d102d6c0e52e48,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/224d183ab394_sdb_00050.png
64,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/tom-the (1).jpg,tom-the (1).jpg,.jpg,162230,888,592,RGB,34414db5cc8ba589a3d70d7a30413b4caef350cd297de3268c6ed8b449289378,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/34414db5cc8b_sdb_00051.jpg
69,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/tom-the-chan-trang_1526262035.jpg,tom-the-chan-trang_1526262035.jpg,.jpg,112959,800,533,RGB,389fb40dc705a363830e27a043de3888f4930c1c7d37492d6e4dc54a5afaa43f,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/389fb40dc705_sdb_00052.jpg
138,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/tom2_vluz (1).jpg_no_bg.png,tom2_vluz (1).jpg_no_bg.png,.png,366980,598,374,RGBA,72699c3cb4658e8ee5ba1d92e441a1b21058ecd5a199ab9ff97478a9a5c53891,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/72699c3cb465_sdb_00053.png
218,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/tumblr_inline_o6bnz3OG8Q1txo3bl_1280.jpg,tumblr_inline_o6bnz3OG8Q1txo3bl_1280.jpg,.jpg,421143,1280,680,RGB,aa4f0bde997c9547c73d98ca1a2bc6f270d0cb408829174ba8c49f3f6353766d,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/aa4f0bde997c_sdb_00054.jpg
35,ShrimpDB,Tom_BT,/kaggle/input/datasets/vohoangtu/shrimpdb/Tom_BT/vov_tom_the_chan_trang_jvms.jpg_no_bg.png,vov_tom_the_chan_trang_jvms.jpg_no_bg.png,.png,344443,500,313,RGBA,1b712f212c106a2e29b1fc2c3682162ea25dc79f39d938d62c988175d931cbd5,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/1b712f212c10_sdb_00055.png
917,ShrimpDiseaseDB,Healthy,/kaggle/working/downloaded_datasets/processed_images/processed_images/1. Healthy/Healthy-100-img-3_nobg.png,Healthy-100-img-3_nobg.png,.png,892329,2048,2048,RGBA,7f263488007f47d7f132a8d8dcd5a6cb4dc7edbbe6ad51a34f4352900b300f50,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/7f263488007f_sddb_00056.png
435,ShrimpDiseaseDB,Healthy,/kaggle/working/downloaded_datasets/processed_images/processed_images/1. Healthy/Healthy-105-img-1_nobg.png,Healthy-105-img-1_nobg.png,.png,894356,2048,2048,RGBA,1a818b9abc997498e8531d7b453fad09850d10b01e2e4849bb96cade1ab1937f,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/1a818b9abc99_sddb_00057.png
574,ShrimpDiseaseDB,Healthy,/kaggle/working/downloaded_datasets/processed_images/processed_images/1. Healthy/Healthy-105-img-2_nobg.png,Healthy-105-img-2_nobg.png,.png,922614,2048,2048,RGBA,36620f57bc8a4b8fbdd8f9a8f2bb5b230eae1a7fd77bb96851cf4871bd909306,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/36620f57bc8a_sddb_00058.png
1035,ShrimpDiseaseDB,Healthy,/kaggle/working/downloaded_datasets/processed_images/processed_images/1. Healthy/Healthy-109-img-1_nobg.png,Healthy-109-img-1_nobg.png,.png,1043526,2048,2048,RGBA,9ca475de0822544e9aabeca5b90044e3b3955fdeccd1c7120b8aae4e59bbb712,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/9ca475de0822_sddb_00059.png
397,ShrimpDiseaseDB,Healthy,/kaggle/working/downloaded_datasets/processed_images/processed_images/1. Healthy/Healthy-113-img-2_nobg.png,Healthy-113-img-2_nobg.png,.png,939598,2048,2048,RGBA,11ef13a346a4ff6549fd26083dc6cff3f1caed67006a2ca1c0bc657737c06442,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/11ef13a346a4_sddb_00060.png
1389,ShrimpDiseaseDB,Healthy,/kaggle/working/downloaded_datasets/processed_images/processed_images/1. Healthy/Healthy-114-img-1_nobg.png,Healthy-114-img-1_nobg.png,.png,1002218,2048,2048,RGBA,efb0a38dfde2001e31e7dbffd8c4a3ab690788b48ff8f14aeb9840b0f870f505,Healthy,test,0,/kaggle/working/cvio_shrimp_academic_study_seed42/experiments/combined4/prepared/test/00_Healthy/efb0a38dfde2_sddb_00061.png
